id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
414317,15123,11239,5552,2549,2873,11455,9242,13725,7773,3919,3835,6794,3058,3232,11255
390092,248,15776,4508,7298,15967,172,1471,9909,775,459,6769,2589,2153,222,2613
68448,216,19,785,82,170,536,472,545,11216,233,96,2053,10518,1923,11509
121921,15979,7938,1391,342,10589,293,9,7527,2372,590,9993,3983,6081,1810,3121
279537,1483,9203,3260,10889,1875,11067,7654,10425,12960,3076,146,7201,1764,1654,2127
171623,191,176,496,2503,128,304,8470,8672,124,15984,747,13922,3467,1377,8864
380607,206,7698,26,16,607,2840,2779,8568,6714,5531,8120,6180,6823,7306,9738
225694,1053,6461,8061,5336,1530,151,2196,1101,153,5397,7670,1478,2282,3307,3369
277659,3178,6657,5112,2882,5709,7255,7901,1451,5136,3100,12317,12595,14148,13506,2868
155821,15951,654,11953,1402,9365,11082,6728,14063,10309,5404,9541,13920,3656,2324,4068
364073,233,592,2123,7739,2691,2902,9439,195,4022,9871,7064,5652,5960,1529,4359
37111,2143,6095,9655,1509,2144,5669,2609,6362,13673,8,5315,11184,5892,4847,8093
163068,15866,11238,7191,1283,4885,121,15037,9223,11824,9975,5934,3233,6918,3923,12300
264220,595,2548,131,57,9017,523,1368,741,2829,141,3361,537,81,10760,1405
240980,2486,7580,3847,12640,15761,751,1409,8093,5870,1482,2940,638,11184,6687,15786
236457,72,187,836,10467,1400,121,4415,5499,1386,358,891,2642,9947,37,5338
310873,4426,185,6478,7034,16006,6450,3826,4939,313,4132,35,171,16018,2259,3128
271055,12140,3539,1527,4082,3178,1037,481,12317,7729,3996,12817,5485,13109,15117,1156
122515,2662,1490,2756,1923,147,1583,4106,11869,2915,1740,2314,4248,10916,7415,1347
217372,1353,6279,5138,5481,294,34,6152,15890,4829,123,3379,2779,745,9576,182
170042,3924,15858,116,4967,2230,1122,2892,113,1560,1655,72,633,6339,7019,10036
42,783,716,2529,6220,272,2504,2621,2081,5252,4604,4862,1021,557,14872,11135
40834,15890,9576,137,182,15839,15751,15750,14422,13145,3894,9738,9839,1077,8175,6152
18602,979,1350,11973,3534,4248,231,572,8389,10746,3055,5706,106,6543,778,66
337627,17,3860,5284,4418,1117,1611,1668,4,234,5289,411,2185,134,10824,7749
73439,5005,1084,2642,1585,1732,9127,6146,2181,5189,9790,15934,1965,15875,356,15886
146021,330,444,5239,5707,2223,2225,737,9513,27,53,7597,11626,5341,12125,1046
203993,15984,247,1027,1775,706,2520,176,63,8009,8947,95,2456,1973,52,666
