id,Categories
77423,Novel-based
34635,Dice
34635,Economic
34635,Prehistoric
308765,City Building
308765,Medieval
308765,Puzzle
127023,Ancient
127023,Fantasy
127023,Miniatures
127023,Mythology
127023,Wargame
2511,Deduction
2511,Murder / Mystery
2511,Novel-based
2511,Post-Napoleonic
2511,Spies / Secret Agents
233398,Exploration
233398,Nautical
233398,Renaissance
328871,Card Game
328871,Science Fiction
328871,Space Exploration
209418,Card Game
209418,Medieval
249259,Abstract Strategy
249259,Medieval
249259,Wargame
148949,Economic
258779,City Building
258779,Industry / Manufacturing
258779,Puzzle
258779,Science Fiction
258779,Space Exploration
258779,Territory Building
146652,Card Game
146652,Fighting
146652,Horror
146652,Movies / TV / Radio theme
146652,Science Fiction
296151,Medieval
294484,Card Game
294484,Fantasy
294484,Fighting
294484,Horror
294484,Novel-based
265188,City Building
265188,Economic
265188,Farming
265188,Territory Building
103885,Aviation / Flight
103885,Bluffing
103885,Collectible Components
103885,Miniatures
103885,Movies / TV / Radio theme
103885,Science Fiction
103885,Wargame
283948,Dice
283948,Economic
283948,Medieval
283948,Travel
244522,Dice
244522,Number
329082,Card Game
329082,Fighting
329082,Science Fiction
82222,Adventure
82222,Exploration
82222,Fighting
82222,Science Fiction
82222,Space Exploration
82222,Transportation
54043,Card Game
54043,Economic
233867,City Building
350184,Animals
350184,Card Game
350184,Environmental
339789,City Building
339789,Science Fiction
283355,Bluffing
283355,Fighting
283355,Negotiation
283355,Novel-based
283355,Political
283355,Science Fiction
283355,Wargame
43111,Fantasy
43111,Fighting
43111,Horror
43111,Mythology
43111,Wargame
9609,Adventure
9609,Fantasy
9609,Fighting
9609,Novel-based
9609,Territory Building
9609,Wargame
271896,Adventure
271896,Exploration
271896,Movies / TV / Radio theme
271896,Science Fiction
271896,Space Exploration
188920,Adventure
188920,Exploration
188920,Mature / Adult
188920,Modern Warfare
188920,Video Game Theme
359609,Adventure
359609,Card Game
359609,Collectible Components
359609,Exploration
359609,Fantasy
359609,Horror
359609,Novel-based
10630,Miniatures
10630,Wargame
10630,World War II
364011,Animals
364011,Economic
227224,Dice
227224,Economic
104162,Adventure
104162,Exploration
104162,Fantasy
104162,Fighting
104162,Miniatures
314491,Animals
314491,Card Game
314491,Environmental
25021,Civil War
25021,Pike and Shot
25021,Wargame
199561,Dice
199561,Puzzle
39463,Bluffing
39463,Negotiation
39463,Science Fiction
39463,Space Exploration
